"  400","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  401","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  402","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  403","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  404","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  405","007063","DEPTH BELOW SEA/WATER SURFACE (M)","38.88"
"  406","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  407","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  408","022043","SEA/WATER TEMPERATURE","22.610000000000014"
"  409","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  410","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  411","007063","DEPTH BELOW SEA/WATER SURFACE (M)","39.56"
"  412","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  413","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  414","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  415","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  416","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  417","007063","DEPTH BELOW SEA/WATER SURFACE (M)","40.23"
